序号,来源,发文字号,文件名,命中关键词(泛化),命中段落摘录,取舍理由,置信度,建议处理
78,mof,财政部令第43号,金融企业国有资本保值增值结果确认暂行办法,偿付能力 ,[body]…资产收益率、利润增长率、总资产报酬率、不良资产率等，适用于各类金融企业。行业性指标包括资本充足率、不良贷款率、偿付能力充足率、净资本负债率等。资本充足率、不良贷款率适用于银行类金融企业；偿付能力充足率适用于保险类金融企业；净资本…,同时存在排除信号(金融资产)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
79,mof,财政部令第42号,金融企业财务规则, ,[body]…出突出贡献的职工给予奖励。 第三十八条 金融企业根据有关法律、法规和政策的规定，为职工缴纳的基本医疗保险、基本养老保险、失业保险和工伤保险等社会保险费用，应当据实列入成本（费用）。 参加基本医疗保险、基本养老保险且按时足额缴费的…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(商业银行,证券公司,金融资产)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
80,mof,财政部令第41号,企业财务通则, ,[body]…为职工支付基本医疗、基本养老、失业、工伤等社会保险费，所需费用直接作为成本（费用）列支。 已参加基本医疗、基本养老保险的企业，具有持续盈利能力和支付能力的，可以为职工建立补充医疗保险和补充养老保险，所需费用按照省级以上人民政府规…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
81,mof,财政部令第34号,财政部关于公布废止和失效的财政规章和规范性文件目录（第九批）的决定, ,[body]…82)财综字第22号） （七）行政政法类（2件） 1. 关于宾馆、饭店、招待所等不准加收“城市建设附加费”和“人身保险费”的通知（1987年4月25日 财政部(87)财文字第101号） 2. 关于加强对内部宾馆、饭店和招待所收费…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(商业银行,证券公司,金融资产)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
82,mof,财政部令第16号,财政部关于公布废止和失效的财政规章和规范性文件目录（第八批）的决定, ,[body]…电力部（63）财农申字第91号、（63）水利财事字第980号〕 （十）社会保障类 1 ．关于印发《企业职工基本养老保险基金实行收支两条线管理暂行规定》的通知（财政部、劳动部、中国人民银行、国家税务总局财社字[1998]6号） 2…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(商业银行,证券公司)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
83,mof,财政部令第15号,国有资产评估违法行为处罚办法,分支机构 ,[body]…法。 第三条 省级人民政府财政部门（国有资产管理部门，下同）负责对本地区资产评估机构（包括设在本地区的资产评估分支机构）的违法行为实施处罚。 对严重评估违法行为，国务院财政部门可以直接进行处罚。 第四条 资产评估机构违法行为的处…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
84,mof,财政部、人事部、中央机构编制委员会办公室财行〔2000〕1号,行政单位财政统一发放工资暂行办法, ,[body]…及代扣款项等数据，分别报编制部门和人事部门审核。代扣款项是指国家政策规定必须由个人缴纳的住房公积金、医疗保险、养老保险和依法交纳的个人所得税等款项，其他应由个人缴纳的款项不列入代扣项目。 第十一条 编制部门对单位报来的人员编制数…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(商业银行)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
85,mof,财际字〔2000〕13号,世界银行贷款项目会计核算办法,保险公司 ,[body]…，贷记 “银行存款”等科目；收回的残料价值和变价收入等，借记“银行存款”、“库存材料”等科目，贷记本科目；应由保险公司或过失人赔偿的损失，借记“其他应收款”、“银行存款”等科目，贷记本科目。 固定资产清理后的净收益，借记本科目，…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
86,mof,财政部财债字〔1999〕268号,中国人民银行财务制度, ,[body]…购建支出，以及办公设备的购置支出。 六、其他支出。指与业务活动没有直接关系的支出，包括社会保险费、失业保险费、养老保险统筹支出、税金及附加、损失款项和其他支出。 社会保险费是离、退休职工退休金、价格补贴、医疗费（含离退休人员参加…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
87,mof,财政部财商字〔1997〕491号,国家政策性银行财务管理规定,保险公司|分支机构 ,[body]…拨付相应的人民币资金，政策性银行按规定向外汇管理部门办理购汇手续。 第八条 政策性银行在中华人民共和国境内设立分支机构，应当按照规定拨付与其经营规模相适应的营运资金。拨付各分支机构营运资金的总和，不得超过总行资本金总额的 60%…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
88,mof,财商字〔1997〕344号,中国人民银行预算管理的规定,保险公司|分支机构 ,[body]…个月内将预算指标分解下达到各省级分行，同时将系统预算分配方案抄送财政部备案，人民银行省级分行和二级分行下达所辖分支机构预算指标，应同时抄送当地专员办。 第十二条 人民银行总行负责依据财政部批准的年度预算，组织和监督全系统预算的执…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
89,mof,财政部财会字〔1995〕70号,勘察设计企业会计制度, ,[body]…号科目 其他应付款 一、本科目核算企业应付、暂收其他单位或个人的款项，如应付租入固定资产租金、存入保证金、应付养老保险费等。 二、企业发生的各种应付、暂收款项，借记 “银行存款”、“管理费用”等科目，贷记本科目；支付时，借记本科…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
90,mof,财政部、中国人民银行财预字〔1989〕68号,中华人民共和国国家金库条例实施细则,分支机构 ,[body]…库设科，支库可根据业务量大小确定要否设股，但至少应有专人负责。 第三条 支库以下的国库经收处业务，由专业银行的分支机构办理，负责收纳报解财政库款，经收处的业务工作，受支库领导。 第四条 国库的业务工作，实行垂直领导。各级国库的工…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
91,mof,公告2026年第11号,关于出口业务增值税和消费税政策的公告,保险公司 ,[body]…服务，包括出口货物保险和出口信用保险，以及以出口货物为保险标的的产品责任保险和产品质量保证保险。 （10）境内保险公司为境外投资项目提供的海外投资保险。境内保险公司向境外保险公司提供的完全在境外消费的再保险服务。 （11）向境外…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
92,mof,财金〔2026〕2号,关于优化实施设备更新贷款财政贴息政策的通知,分支机构 ,[body]…政部门提出2026年全年贴息资金需求申请，省级财政部门收到申请后10个工作日内向省行预拨贴息资金。省行按月汇总分支机构贴息资金申请并向省级财政部门提交申请及证明材料。省级财政部门要会同相关部门建立联审工作机制，集中组织相关部门开…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
93,mof,财会〔2025〕35号,关于印发《〈社会保险基金会计制度〉补充规定》的通知,保险机构|保险资金 ,[body]…居民基本医疗保险基金“5101 大病保险支出”科目的明细科目设置及会计处理。 经办机构应当在本科目下增设“商业保险机构承办”、“自行经办待遇支出”明细科目，分别核算划转商业保险机构承办以及医保经办机构自行经办的大病保险资金。 在…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
94,mof,财金〔2025〕135号,关于进一步发挥政府性融资担保体系作用 加力支持就业创业的指导意见,分支机构 ,[body]…速度。 四、强化信息归集共享 （十一）健全跨部门数据共享机制。鼓励地方财政、人力资源社会保障部门和中国人民银行分支机构建立资格审核、贷款发放、担保增信、财政贴息等数据共享平台，优化创业担保贷款相关数据及担保稳定和新增就业人数统计…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
95,mof,财会〔2025〕30号,关于印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知,分支机构 ,[body]…制措施；加强对投资项目的追踪管理，建立责任追究制度。强化所属单位管理，明确所属单位的职能定位和权限，建立健全对分支机构、下设企业、挂靠非营利机构等所属单位的管理体制机制；采取切实有效措施履行国有资产监管职责，维护国有资产权益，健…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
96,mof,财会〔2025〕20号,关于印发《会计师事务所反洗钱工作管理办法》的通知,分支机构 ,[body]…钱义务的情况进行监督检查，依法处理同级反洗钱行政主管部门提出的反洗钱监督管理建议。国务院反洗钱行政主管部门及其分支机构依法协助省级以上财政部门进行相关监督检查。 第二十四条 各级注册会计师协会在财政部门、反洗钱行政主管部门的指导…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
97,mof,公告2025年第5号,关于明确快递服务等增值税政策的公告,分支机构 ,[body]…本公告所称快递企业，是指在境内从事快递业务经营并依法取得快递业务经营许可的企业，上述企业向邮政管理部门备案的分支机构，以及上述企业或者上述分支机构向邮政管理部门备案的快递末端网点。快递末端网点，是指提供快递末端服务的经营网点。…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
98,mof,财金〔2024〕83号,关于扩大大豆完全成本保险和种植收入保险政策实施范围的通知,保险公司 ,[body]…国融通资产管理集团有限公司、中国储备粮管理集团有限公司、北大荒农垦集团有限公司、中国农业发展集团有限公司，有关保险公司： 按照《中共中央 国务院关于学习运用 “千村示范、万村整治”工程经验有力有效推进乡村全面振兴的意见》有关要求…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
99,mof,财金〔2024〕45号,关于在全国全面实施三大粮食作物完全成本保险和种植收入保险政策的通知,保单|保险产品|保险公司 ,[body]…国融通资产管理集团有限公司、中国储备粮管理集团有限公司、北大荒农垦集团有限公司、中国农业发展集团有限公司，有关保险公司： 按照《中共中央 国务院关于学习运用“千村示范、万村整治”工程经验有力有效推进乡村全面振兴的意见》有关要求，…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
100,mof,财金〔2023〕107号,关于实施天然橡胶综合保险政策的通知,保单|保险产品 ,[body]…争力，服务我国重要农产品和物资稳产保供。 （三）优化保障机制。鼓励依法合规探索开发符合当地特点和胶农需求的农业保险产品，在管理上要效率，在创新上要效益，不断优化完善保险机制，充分发挥农业保险风险管理和经济补偿功能，切实提高橡胶种…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
101,mof,公告2023年第55号,关于延续实施支持农村金融发展企业所得税政策的公告,保险公司 ,[body]…税政策公告如下： 一、对金融机构农户小额贷款的利息收入，在计算应纳税所得额时，按 90%计入收入总额。 二、对保险公司为种植业、养殖业提供保险业务取得的保费收入，在计算应纳税所得额时，按 90%计入收入总额。 三、本公告所称农户…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
102,mof,财金〔2023〕59号,关于扩大三大粮食作物完全成本保险和种植收入保险实施范围至全国所有产粮大县的通知,保单|保险产品 ,[body]…绕全面推进乡村振兴和加快农业农村现代化，通过进一步扩大三大粮食作物完全成本保险和种植收入保险实施范围，增强农业保险产品吸引力，在管理上要效率，在创新上要效益，助力健全农村金融服务体系和种粮农民收益保障机制，推动完善农业支持保护制…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
103,mof,财金〔2022〕87号,关于进一步加强国有金融企业财务管理的通知,分支机构 ,[body]…配置公务用车、办公用房，国内出差、因公出国 (境)按规定标准乘坐交通工具、落实住宿和餐饮标准，严格规范内部各级分支机构、子机构差旅、住宿、接待标准。 金融企业应当建立健全负责人公务用车管理制度，严格落实 1人1车或多人1车为负责…,同时存在排除信号(金融资产)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
104,mof,财预〔2022〕76号,关于印发《民族贸易和民族特需商品生产贷款贴息管理办法》的通知,分支机构 ,[body]…单列市财政厅（局）、 民（宗）委（厅局）， 新疆生产建设兵团财政局、 民宗局， 人民银行副省级城市中心支行以上分支机构： 为满足少数民族群众生产生活需要， 促进民族地区贸易发展， 保障民族特需商品供应， 加强民族贸易和民族特需商…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
105,mof,财金〔2022〕63号,关于开展大豆完全成本保险和种植收入保险试点的通知,保单|保险机构|保险条款 ,[body]…任应涵盖农产品价格、产量波动导致的收入损失。 （三）注重加强承保机构资质管理。承保完全成本保险或种植收入保险的保险机构应满足《财政部 农业农村部关于加强政策性农业保险承保机构遴选管理工作的通知》（财金〔 2020〕128号）相关…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
106,mof,财金〔2022〕55号,关于在广西开展糖料蔗完全成本保险和种植收入保险的通知,保单|保险机构|保险条款 ,[body]…任应涵盖农产品价格、产量波动导致的收入损失。 （三）注重加强承保机构资质管理。承保完全成本保险或种植收入保险的保险机构应满足《财政部 农业农村部关于加强政策性农业保险承保机构遴选管理工作的通知》（财金〔 2020〕128号）相关…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
107,mof,公告2022年第11号,关于促进服务业领域困难行业纾困发展有关增值税政策的公告,分支机构 ,[body]…，执行期限延长至2022年12月31日。 二、自2022年1月1日至2022年12月31日，航空和铁路运输企业分支机构暂停预缴增值税。2022年2月纳税申报期至文件发布之日已预缴的增值税予以退还。 三、自2022年1月1日至20…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
108,mof,财金〔2021〕130号,关于印发《中央财政农业保险保费补贴管理办法》的通知,保险公司 ,[body]…产管理集团有限公司、 中国储备粮管理集团有限公司、 北大荒农垦集团有限公司、 中国农业发展集团有限公司， 有关保险公司： 为进一步做好农业保险保费补贴工作， 提升财政资金使用绩效， 推动农业保险加快高质量发展， 结合近年来工作实…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
109,mof,财金〔2021〕102号,关于规范国有金融机构资产转让有关事项的通知,分支机构 ,[body]…关事项通知如下： 一、坚持依法依规，确保公开、公平、公正 国有独资、国有全资、国有控股及实际控制金融机构（含其分支机构及拥有实际控制权的各级子企业，以下统称国有金融机构）资产转让应当严格遵守国家法律法规和政策规定，充分发挥市场配…,同时存在排除信号(金融资产)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
110,mof,财金〔2021〕96号,关于实施中央财政支持普惠金融发展示范区奖补政策的通知,分支机构 ,[body]…部将各省绩效考核表和汇总得分、排名情况在财政部官网予以公示，接受社会监督。 （四）省级财政部门联合当地人民银行分支机构、银保监部门确定当年示范区，并于每年4月30日前将示范区名单提交财政部。 （五）每年5月20日前，财政部根据分…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
111,mof,财税〔2021〕51号,关于调整铁路和航空运输企业汇总缴纳增值税分支机构名单的通知,分支机构 ,[title]…关于调整铁路和航空运输企业汇总缴纳增值税分支机构名单的通知 2021年09月05日财税〔2021〕51号公布，自公布之日起施行。 财政部   税务总局…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
112,mof,财预〔2021〕108号,关于印发《关于全面推动长江经济带发展财税支持政策的方案》的通知, ,[body]…工作。中央财政加大对城乡居民基本医疗保险基金的补助力度，鼓励引导退捕渔民按规定参加基本医疗保险。沿江省市要落实养老保险缴费补贴政策，对“三地分离”退捕渔民，按规定给予养老保险缴费补贴。中央财政通过就业创业有关补助资金，支持以转产…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
113,mof,财金〔2021〕49号,关于扩大三大粮食作物完全成本保险和种植收入保险实施范围的通知,保险产品|保险机构|保险条款 ,[body]…绕全面推进乡村振兴和加快农业农村现代化，通过扩大三大粮食作物完全成本保险和种植收入保险实施范围，进一步增强农业保险产品吸引力，助力健全符合我国农业发展特点的支持保护政策体系和农村金融服务体系，稳定种粮农民收益，支持现代农业发展，…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
114,mof,公告2021年第6号,关于延长部分税收优惠政策执行期限的公告,保险公司 ,[body]…〔2014〕24号）规定的税收优惠政策，执行期限延长至2025年12月31日。 四、《财政部 国家税务总局关于保险公司准备金支出企业所得税税前扣除有关政策问题的通知》（财税〔2016〕114号）等6个文件规定的准备金企业所得税税…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
115,mof,财金〔2020〕128号,关于加强政策性农业保险承保机构遴选管理工作的通知,保险产品|保险公司|保险机构|分支机构 ,[body]…辖市、计划单列市财政厅（局）、农业农村（农牧、畜牧兽医）厅（委、局），新疆生产建设兵团财政局、农业农村局，有关保险公司，中国农业再保险股份有限公司： 为贯彻落实《关于加快农业保险高质量发展的指导意见》（财金〔 2019〕102号…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
116,mof,财税〔2020〕56号,关于铁路运输企业汇总缴纳增值税的通知,分支机构 ,[body]…运输企业汇总缴纳增值税事宜通知如下： 一、 自 2014 年 1 月 1 日起， 中国国家铁路集团有限公司及其分支机构提供铁路运输服务以及与铁路运输相关的物流辅助服务， 按照《总分机构试点纳税人增值税计算缴纳暂行办法》（财税〔2…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
117,mof,财税〔2020〕31号,关于海南自由贸易港企业所得税优惠政策的通知,分支机构 ,[body]…修订版实施之日起按新版本执行。 对总机构设在海南自由贸易港的符合条件的企业，仅就其设在海南自由贸易港的总机构和分支机构的所得，适用 15% 税率；对总机构设在海南自由贸易港以外的企业，仅就其设在海南自由贸易港内的符合条件的分支机…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
118,mof,财税〔2020〕30号,关于航空运输企业汇总缴纳增值税总分机构名单的通知,分支机构 ,[body]…试点纳税人增值税计算缴纳暂行办法》（财税〔 2013 〕 74 号）的规定计算缴纳增值税。  上述航空运输企业分支机构的预征率为 1% 。  附件：航空运输企业总分机构名单 财政部 税务总局 2020 年 6 月 4 日 各省、…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
119,mof,财金〔2020〕21号,关于进一步加大创业担保贷款贴息力度 全力支持重点群体创业就业的通知,分支机构 ,[body]…核、贴息、贷款发放等数据。人社部门负责做好资格审核工作。各担保基金运营管理机构和经办金融机构按季向当地人民银行分支机构、财政、人社部门报告担保基金和创业担保贷款发放使用情况。人民银行分支机构强化普惠金融定向降准考核、专项金融债发…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
120,mof,财农〔2020〕15号,关于进一步做好全国农业信贷担保工作的通知,分支机构 ,[body]…适应的动态平衡机制，采取垂直化、扁平化管理方式持续推进基层服务网络建设，避免层层设机构，逐步将分公司、办事处等分支机构下沉到市县、基层，同时注意精耕细作、区域推进。要加强业务开拓、风险防控并重的自身能力建设，牢牢把握项目发现、调…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
121,mof,财金函〔2020〕7号,关于国有金融企业积极做好疫情防控捐赠有关事项的通知,保险产品|保险机构 ,[body]…境内短缺的防疫物资，向公益性社会组织或县级以上人民政府及其部门等国家机关，以及承担疫情防治任务的医院捐赠。鼓励保险机构立足主业，发挥风险保障功能，向一线医务人员、疫情防控工作人员捐赠保险产品。 四、金融企业应当合理调配捐赠资金，…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
122,mof,财金〔2020〕5号,关于打赢疫情防控阻击战强化疫情防控重点保障企业资金支持的紧急通知,分支机构 ,[body]…业和信息化部门要主动了解疫情防控重点保障企业生产经营需求，下沉服务、上门服务，及时帮助企业排忧解难。各人民银行分支机构要指导金融机构主动对接疫情防控重点保障企业融资需求、尽快放贷，保障企业生产经营需要。各级财政部门、人民银行分支…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
123,mof,公告2020年第2号,关于明确国有农用地出租等增值税政策的公告,保险公司 ,[body]…自己名义立项销售的不动产，属于房地产老项目，可以选择适用简易计税方法按照 5% 的征收率计算缴纳增值税。 三、保险公司按照《财政部 税务总局关于明确养老机构免征增值税等政策的通知》（财税〔 2019 〕 20 号）第四条第（三）…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
124,mof,公告2020年第3号,关于境外所得有关个人所得税政策的公告,分支机构 ,[body]…址、派遣期限、境内外收入及缴税情况等。 中方机构包括中国境内企业、事业单位、其他经济组织以及国家机关所属的境外分支机构、子公司、使（领）馆、代表处等。 十二、居民个人取得来源于境外的所得或者实际已经在境外缴纳的所得税税额为人民币…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
125,mof,财库〔2019〕68号,关于实施跨省异地缴纳非现场交通违法罚款工作的通知,分支机构 ,"[body]…税收入收缴代理资格的银行范围内,选定银行代收跨省异地缴纳的罚款。省级财政部门要与选定的代理银行总行或总行授权的分支机构签订协议，明确通过同行汇划清算系统接收罚款的银行账户、缴库方式、信息传递方式和要求等。 2.在违法行为发生地以…",泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
126,mof,财金〔2019〕102号,关于印发《关于加快农业保险高质量发展的指导意见》的通知,保险产品|保险机构|保险条款|偿付能力|分支机构 ,[body]…作。与农业保险发展内在规律相适应，充分发挥市场在资源配置中的决定性作用，坚持以需求为导向，强化创新引领，发挥好保险机构在农业保险经营中的自主性和创造性。 自主自愿。充分尊重农民和农业生产经营组织意愿，不得强迫、限制其参加农业保险…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
127,mof,财库〔2019〕38号,关于促进政府采购公平竞争优化营商环境的通知,分支机构 ,[body]…的资格条件，妨碍供应商进入政府采购市场； （三）要求供应商在政府采购活动前进行不必要的登记、注册，或者要求设立分支机构，设置或者变相设置进入政府采购市场的障碍； （四）设置或者变相设置供应商规模、成立年限等门槛，限制供应商参与政…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
128,mof,财金〔2019〕62号,关于开展财政支持深化民营和小微企业金融服务综合改革试点城市工作的通知,分支机构 ,[body]…分值低于 70分的试点城市，取消试点资格，追回全部奖励资金。 （五）职责分工。 各地财政、科技、工信、人民银行分支机构、银保监部门、财政部各地监管局、地方金融监管部门各司其责。试点城市绩效目标设定和评价工作由各部门分工负责：人民…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
129,mof,财社〔2019〕81号,关于解决部分退役士兵社会保险问题中央财政补助资金有关事项的通知, ,[body]…务院办公厅印发 <关于解决部分退役士兵社会保险问题的意见>的通知》（以下称《通知》），妥善解决部分退役士兵基本养老保险和基本医疗保险未参保和中断缴费问题，规范中央财政补助资金使用管理，现将有关事项通知如下： 一、政府补助范围 以…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
130,mof,公告2019年第74号,关于个人取得有关收入适用个人所得税应税所得项目的公告, ,[body]…征收个人所得税问题的复函》（国税函〔 1995〕351号）； （三）《国家税务总局关于未分配的投资者收益和个人人寿保险收入征收个人所得税问题的批复》（国税函〔 1998〕546号）第二条； （四）《国家税务总局关于个人所得税有关…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(证券公司)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
131,mof,公告2019年第69号,关于2017年度第二批和2018年度第一批公益性社会团体捐赠税前扣除资格名单的公告, ,[body]…基金会 78.健坤慈善基金会 79.善小公益基金会 80.中山博爱基金会 81.三峡集团公益基金会 82.新华人寿保险公益基金会 83.中国人保公益慈善基金会 84.中华思源工程扶贫基金会 85.兰州大学教育发展基金会 86.张…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
132,mof,财建〔2019〕225号,关于进一步深入推进首台（套）重大技术装备保险补偿机制试点工作的通知,保单|保险产品|保险公司|保险条款 ,[body]…保险是指由生产《目录》内装备制造企业投保，与用户共同受益，承保首台（套）重大技术装备质量风险和责任风险的综合险保险产品。其中，质量风险主要保障因产品质量缺陷导致用户要求修理、更换或退货的风险；责任风险主要保障因产品质量缺陷造成用…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
133,nfra,,农业保险条例,保险公司|保险机构|保险条款|偿付能力 ,[body]…展，根据《中华人民共和国保险法》、《中华人民共和国农业法》等法律，制定本条例。第二条 本条例所称农业保险，是指保险机构根据农业保险合同，对被保险人在种植业、林业、畜牧业和渔业生产中因保险标的遭受约定的自然灾害、意外事故、疫病、疾…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
